method_id,item_id,subsystem,function,requirement_or_evidence_anchor,potential_failure_mode,potential_effect,severity_s,potential_cause,occurrence_o,current_control,detection_d,rpn,recommended_action,responsible_role,evidence_trace,critic_notes,status
M4,M4R2-001,Brake lever,Transfer rider hand input,use_base,Lever pivot binds during return,Delayed brake release and unstable rider control,5,"Pivot corrosion, contamination, or insufficient clearance",4,Assembly inspection and functional lever check,6,120,Specify sealed pivot bushing and return-force acceptance check,Designer,S02; engineering_inference:S03,"Kept after evidence-boundary, specificity, mitigation, and RPN review",keep
M4,M4R2-002,Brake lever,Transmit rider command to cable or hydraulic path,use_base,Lever blade cracks or deforms under load,Reduced command force and unpredictable braking response,8,"Material defect, impact damage, or poor section thickness",4,Incoming inspection and lever proof-load check,8,256,Add minimum section requirement and proof-load sampling,Manufacturer,engineering_inference:S02,"Kept after evidence-boundary, specificity, mitigation, and RPN review",keep
M4,M4R2-003,Cable or hydraulic path,Transmit force to caliper,use_base,Cable anchor slips or detaches,Sudden severe loss of braking force,10,"Insufficient clamping force, missing retention feature, or assembly error",3,Torque inspection and visual cable seating check,9,270,"Add positive retention feature, torque stripe, and assembly poka-yoke",Manufacturer,S01; engineering_inference:S02,"Kept after evidence-boundary, specificity, mitigation, and RPN review",keep
M4,M4R2-004,Cable or hydraulic path,Transmit force without intermittent friction,use_base,Cable housing kinks or routing creates high friction,Sporadic engagement and delayed brake response,7,"Tight routing radius, damaged housing, or poor frame interface",5,Routing inspection during assembly,8,280,"Define routing radius, housing support, and full-stroke return test",Designer,S01; engineering_inference:S03,"Kept after evidence-boundary, specificity, mitigation, and RPN review",keep
M4,M4R2-005,Cable or hydraulic path,Maintain hydraulic pressure,use_base,Hydraulic leak or air ingress reduces pressure,Longer stopping distance and reduced brake force,8,"Fitting leak, seal defect, or poor bleeding process",3,Leak inspection and lever feel check,8,192,Specify pressure-rated fittings and production leak test,Manufacturer,engineering_inference:S02,"Kept after evidence-boundary, specificity, mitigation, and RPN review",keep
M4,M4R2-006,Brake caliper,Clamp pads on rotor,use_base,Caliper piston sticks in partially applied position,"Brake drag, overheating, and inconsistent deceleration",8,"Contamination, corrosion, or seal swelling",5,Functional spin test,7,280,Improve caliper sealing and add drag torque check,Designer,engineering_inference:S03,"Kept after evidence-boundary, specificity, mitigation, and RPN review",keep
M4,M4R2-007,Brake caliper,Apply symmetric clamping force,use_base,Caliper alignment shifts relative to rotor,Uneven pad wear and reduced braking consistency,6,"Loose mount, tolerance stack-up, or impact deformation",4,Visual alignment and torque check,7,168,Add locating feature and assembly alignment gauge,Manufacturer,engineering_inference:S02,"Kept after evidence-boundary, specificity, mitigation, and RPN review",keep
M4,M4R2-008,Brake pads,Generate stable friction,use_base,Pad wear below service limit,Longer stopping distance and reduced braking margin,8,"Normal wear, abrasive contamination, or neglected maintenance",6,Visual pad wear inspection,5,240,"Add wear indicator, minimum thickness mark, and maintenance interval",Service technician,engineering_inference:S02;S03,"Kept after evidence-boundary, specificity, mitigation, and RPN review",keep
M4,M4R2-009,Brake pads,Maintain friction under repeated braking,use_base,Pad fade during repeated braking,Braking force decreases during repeated stops or slope descent,9,Thermal overload or low-temperature-rated compound,4,Material specification review,8,288,Define thermal fade test and higher-temperature pad compound,Designer,engineering_inference:S02,"Kept after evidence-boundary, specificity, mitigation, and RPN review",keep
M4,M4R2-010,Disc rotor,Provide stable friction surface,use_base,Rotor warps or develops excessive runout,"Vibration, pulsing, and reduced braking consistency",5,"Heat cycling, impact, or insufficient rotor thickness",4,Runout inspection and rotor thickness check,7,140,"Specify rotor thickness, heat tolerance, and runout limit",Designer,engineering_inference:S02,"Kept after evidence-boundary, specificity, mitigation, and RPN review",keep
M4,M4R2-011,Disc rotor,Provide clean pad contact,use_base,Rotor contamination reduces friction,Reduced braking force and longer stopping distance,7,"Oil, water, cleaning residue, or road contamination",4,Visual inspection and functional brake check,6,168,Add contamination warning and cleaning guidance,Service technician,engineering_inference:S03,"Kept after evidence-boundary, specificity, mitigation, and RPN review",keep
M4,M4R2-012,Mounting hardware,Hold brake components in position,use_base,Caliper bolt loosens or retaining fastener backs out,"Caliper shift, misalignment, or severe braking loss",10,"Vibration, missing thread locking, or incorrect torque",4,Torque audit and witness mark,8,320,"Use locking fastener, torque stripe, and assembly verification",Manufacturer,S01; engineering_inference:S02,"Kept after evidence-boundary, specificity, mitigation, and RPN review",keep
M4,M4R2-013,Mounting hardware,Maintain bracket stiffness,use_base,Brake bracket cracks near mounting hole,Loss of caliper position and degraded braking,8,"Fatigue, stress concentration, or impact",2,Visual inspection and design review,9,144,"Add fillet radius, fatigue review, and proof-load inspection",Designer,engineering_inference:S02,"Kept after evidence-boundary, specificity, mitigation, and RPN review",keep
M4,M4R2-014,Wheel-level braking response,Decelerate wheel predictably,use_base,Brake does not engage when commanded,Excessive stopping distance and collision risk,10,"Disconnected force path, severe pad wear, or caliper malfunction",3,Pre-ride brake check,9,270,Add pre-ride check procedure and fail-safe design review,Rider,S01; engineering_inference:S02,"Kept after evidence-boundary, specificity, mitigation, and RPN review",keep
M4,M4R2-015,Wheel-level braking response,Modulate deceleration,use_base,Brake engages too aggressively or unexpectedly,"Wheel lock, skid, and rider fall",9,"Excessive leverage, poor modulation, or contaminated friction pair",3,Functional braking response check,9,243,Define modulation acceptance criteria and adjust leverage/friction pairing,Designer,S01; engineering_inference:S02,"Kept after evidence-boundary, specificity, mitigation, and RPN review",keep
M4,M4R2-016,Wheel-level braking response,Maintain consistent braking response,use_base,Front and rear brake balance is poorly matched,Rider instability during braking,6,Component mismatch or uneven adjustment,5,Final assembly brake response check,7,210,Add balance check and adjustment procedure,Manufacturer,engineering_inference:S02;S03,"Kept after evidence-boundary, specificity, mitigation, and RPN review",keep
M4,M4R2-017,Brake pads,Remain secured in caliper,use_base,Pad retaining pin loosens or clip disengages,"Pad shift, noise, or partial braking loss",8,Improper clip seating or vibration loosening,3,Visual inspection of retaining hardware,8,192,Add positive retention clip and assembly verification,Manufacturer,engineering_inference:S02,"Kept after evidence-boundary, specificity, mitigation, and RPN review",keep
M4,M4R2-018,Cable or hydraulic path,Recover after brake release,use_base,Return spring or cable return is insufficient,Brake remains partially engaged after release,7,"Weak return spring, cable drag, or contamination",5,Lever return check,7,245,Specify return-force threshold and contamination-resistant routing,Designer,engineering_inference:S03,"Kept after evidence-boundary, specificity, mitigation, and RPN review",keep
