method_id,item_id,subsystem,function,requirement_or_evidence_anchor,potential_failure_mode,potential_effect,severity_s,potential_cause,occurrence_o,current_control,detection_d,rpn,recommended_action,responsible_role,evidence_trace,critic_notes,status
M4,M4NI1-001,Brake lever,Transmit rider command to cable or hydraulic path,use_base,Lever blade cracks or deforms under load,Reduced command force and unpredictable braking response,9,"Material defect, impact damage, or poor section thickness",3,Incoming inspection and lever proof-load check,7,189,Add minimum section requirement and proof-load sampling,Manufacturer,engineering_inference:S02,"Critic retained row, but final integrity pass intentionally omitted",keep
M4,M4NI1-002,Cable or hydraulic path,Transmit force to caliper,use_base,Cable anchor slips or detaches,Sudden severe loss of braking force,8,"Insufficient clamping force, missing retention feature, or assembly error",4,Torque inspection and visual cable seating check,8,261,"Add positive retention feature, torque stripe, and assembly poka-yoke",Manufacturer,S01; engineering_inference:S02,"Critic retained row, but final integrity pass intentionally omitted",keep
M4,M4NI1-003,Cable or hydraulic path,Transmit force without intermittent friction,use_base,Cable housing kinks or routing creates high friction,Sporadic engagement and delayed brake response,8,"Tight routing radius, damaged housing, or poor frame interface",4,Routing inspection during assembly,7,224,"Define routing radius, housing support, and full-stroke return test",Designer,S01; engineering_inference:S03,"Critic retained row, but final integrity pass intentionally omitted",keep
M4,M4NI1-004,Cable or hydraulic path,Maintain hydraulic pressure,use_base,Hydraulic leak or air ingress reduces pressure,Longer stopping distance and reduced brake force,9,"Fitting leak, seal defect, or poor bleeding process",4,Leak inspection and lever feel check,7,252,Specify pressure-rated fittings and production leak test,Manufacturer,engineering_inference:S02,"Critic retained row, but final integrity pass intentionally omitted",keep
M4,M4NI1-005,Brake caliper,Clamp pads on rotor,use_base,Caliper piston sticks in partially applied position,"Brake drag, overheating, and inconsistent deceleration",6,"Contamination, corrosion, or seal swelling",4,Functional spin test,6,144,Improve caliper sealing and add drag torque check,Designer,engineering_inference:S03,"Critic retained row, but final integrity pass intentionally omitted",keep
M4,M4NI1-006,Brake caliper,Apply symmetric clamping force,use_base,Caliper alignment shifts relative to rotor,Uneven pad wear and reduced braking consistency,7,"Loose mount, tolerance stack-up, or impact deformation",5,Visual alignment and torque check,6,210,Add locating feature and assembly alignment gauge,Manufacturer,engineering_inference:S02,"Critic retained row, but final integrity pass intentionally omitted",keep
M4,M4NI1-007,Brake pads,Generate stable friction,use_base,Pad wear below service limit,Longer stopping distance and reduced braking margin,9,"Normal wear, abrasive contamination, or neglected maintenance",5,Visual pad wear inspection,4,180,"Add wear indicator, minimum thickness mark, and maintenance interval",Service technician,engineering_inference:S02;S03,"Critic retained row, but final integrity pass intentionally omitted",keep
M4,M4NI1-008,Brake pads,Maintain friction under repeated braking,use_base,Pad fade during repeated braking,Braking force decreases during repeated stops or slope descent,7,Thermal overload or low-temperature-rated compound,5,Material specification review,7,245,Define thermal fade test and higher-temperature pad compound,Designer,engineering_inference:S02,"Critic retained row, but final integrity pass intentionally omitted",keep
M4,M4NI1-009,Disc rotor,Provide stable friction surface,use_base,Rotor warps or develops excessive runout,"Vibration, pulsing, and reduced braking consistency",6,"Heat cycling, impact, or insufficient rotor thickness",3,Runout inspection and rotor thickness check,6,108,"Specify rotor thickness, heat tolerance, and runout limit",Designer,engineering_inference:S02,"Critic retained row, but final integrity pass intentionally omitted",keep
M4,M4NI1-010,Disc rotor,Provide clean pad contact,use_base,Rotor contamination reduces friction,Reduced braking force and longer stopping distance,8,"Oil, water, cleaning residue, or road contamination",5,Visual inspection and functional brake check,5,200,Add contamination warning and cleaning guidance,Service technician,engineering_inference:S03,"Critic retained row, but final integrity pass intentionally omitted",keep
