method_id,item_id,subsystem,function,requirement_or_evidence_anchor,potential_failure_mode,potential_effect,severity_s,potential_cause,occurrence_o,current_control,detection_d,rpn,recommended_action,responsible_role,evidence_trace,critic_notes,status
M4,C2-M4-001,Brake lever,Convert rider hand input into compatible caliper actuation,B4,Incorrect lever mode or lever-caliper pairing produces unsuitable cable pull,Excessive or insufficient braking force with poor controllability,8,Mode switch set for wrong brake type or incompatible lever selected,3,Compatibility table and assembly inspection,7,168,Add lever-caliper compatibility checklist and mode-position verification step,Manufacturer,B4,Specific lever compatibility mechanism grounded in manual; keep,keep
M4,C2-M4-002,Brake lever,Provide reachable handbrake control from normal riding position,B3,Lever reach or location prevents timely full handbrake actuation,Delayed braking response and longer stopping distance,6,Poor lever placement inappropriate reach adjustment or handlebar fit,3,Pre-delivery ergonomic check,5,90,Define lever reach acceptance check for intended rider size range,Designer,B3;engineering_inference:B4,Lower severity than loss of brake path; keep,keep
M4,C2-M4-003,Inner cable,Transmit force without interfering with rotating rotor,B4,Protruding inner cable end contacts the disc brake rotor,Wheel lock and forward fall risk,9,Cable end left longer than specified or not secured after adjustment,2,Visual cable-end inspection,7,126,Add cable-end length gauge and post-adjustment rotor-clearance check,Service technician,B4,Direct manual warning translated into DFMEA row; keep,keep
M4,C2-M4-004,Cable fixing interface,Retain cable force path under braking load,B3;B4,Cable anchor slips or cable strands are damaged at fixing bolt,Sudden severe reduction or loss of braking force,10,Insufficient cable fixing torque poor clamp geometry or strand cutting,3,Torque check and brake lever stroke check,8,240,Specify torque marking positive cable retention and strand-damage inspection,Manufacturer,B3;B4,High-risk force-path row; keep,keep
M4,C2-M4-005,Cable and housing,Maintain stable mechanical force transmission,B4,Cable rust fraying stretch or housing drag reduces transmitted force,Progressive weak braking and increased stopping distance,8,Environmental corrosion abrasive routing or delayed cable replacement,4,Visual cable inspection and lever-stroke check,5,160,Define replacement interval routing bend limits and full-stroke return test,Service technician,B4,Distinct progressive degradation row; keep,keep
M4,C2-M4-006,Caliper actuator arm,Convert cable pull into symmetric caliper actuation,B2,Actuator arm over-rotates and dislocates caliper parts,Lack of braking and loss of control,10,Mechanical stop weakness tolerance stack-up or overload at actuator arm,2,Functional brake test and actuator travel inspection,8,160,Add actuator travel stop verification and failure containment feature,Designer,B2,Direct recall mechanism; keep,keep
M4,C2-M4-007,Mechanical caliper,Convert cable input into pad clamping force,B1;B2,Mechanical disc brake caliper fails to clamp pads as commanded,Loss of braking power and crash risk,10,Internal caliper defect seized mechanism or failed linkage,3,Pre-ride brake function check and end-of-line test,8,240,Add caliper functional proof test supplier quality screen and recall traceability,Manufacturer,B1;B2,General caliper failure row grounded in two recalls; keep,keep
M4,C2-M4-008,Caliper mounting hardware,Maintain caliper position under vibration and braking load,B3;B4,Caliper fixing bolt loosens or snap ring is omitted,Caliper shift rotor rub or severe braking loss,9,Insufficient torque missing locking device omitted snap ring or vibration loosening,3,Torque audit and visual snap-ring check,7,189,Use locking device torque stripe and mandatory snap-ring verification,Manufacturer,B3;B4,Maps locking-device and snap-ring evidence; keep,keep
M4,C2-M4-009,Mounting interface,Hold rotor centered in caliper slit,B4,Non-standard mounting boss or fork end causes rotor-caliper contact,Brake drag heat noise and reduced braking consistency,7,Mounting face dimensional error bracket misalignment or frame tolerance drift,3,Caliper alignment check,6,126,Add mounting-face tolerance check and rotor-centering fixture,Designer,B4,Interface-specific row distinct from bolt loosening; keep,keep
M4,C2-M4-010,Pad clearance adjustment,Maintain equal pad-rotor clearance as pads wear,B4,Unequal or excessive pad clearance is left after wear adjustment,Insufficient braking force or unintended pad-rotor contact,8,Only one side adjusted cable barrel overused or pad screw ignored,5,Service clearance check,5,200,Add two-sided clearance procedure with 0.2-0.5 mm target and sign-off,Service technician,B4,High occurrence service row; keep,keep
