method_id,item_id,subsystem,function,requirement_or_evidence_anchor,potential_failure_mode,potential_effect,severity_s,potential_cause,occurrence_o,current_control,detection_d,rpn,recommended_action,responsible_role,evidence_trace,critic_notes,status
M3,M3R3-001,Brake lever,Transfer rider hand input,use_base,Lever pivot binds during return,Delayed brake release and unstable rider control,6,"Pivot corrosion, contamination, or insufficient clearance",5,Assembly inspection and functional lever check,6,180,Specify sealed pivot bushing and return-force acceptance check,Designer,S02; engineering_inference:S03,not_applicable,keep
M3,M3R3-002,Brake lever,Transmit rider command to cable or hydraulic path,use_base,Lever blade cracks or deforms under load,Reduced command force and unpredictable braking response,9,"Material defect, impact damage, or poor section thickness",3,Incoming inspection and lever proof-load check,8,216,Add minimum section requirement and proof-load sampling,Manufacturer,engineering_inference:S02,not_applicable,keep
M3,M3R3-003,Cable or hydraulic path,Transmit force to caliper,use_base,Cable anchor slips or detaches,Sudden severe loss of braking force,8,"Insufficient clamping force, missing retention feature, or assembly error",4,Torque inspection and visual cable seating check,9,288,"Add positive retention feature, torque stripe, and assembly poka-yoke",Manufacturer,S01; engineering_inference:S02,not_applicable,keep
M3,M3R3-004,Cable or hydraulic path,Transmit force without intermittent friction,use_base,Cable housing kinks or routing creates high friction,Sporadic engagement and delayed brake response,8,"Tight routing radius, damaged housing, or poor frame interface",4,Routing inspection during assembly,8,256,"Define routing radius, housing support, and full-stroke return test",Designer,S01; engineering_inference:S03,not_applicable,keep
M3,M3R3-005,Cable or hydraulic path,Maintain hydraulic pressure,use_base,Hydraulic leak or air ingress reduces pressure,Longer stopping distance and reduced brake force,9,"Fitting leak, seal defect, or poor bleeding process",4,Leak inspection and lever feel check,8,288,Specify pressure-rated fittings and production leak test,Manufacturer,engineering_inference:S02,not_applicable,keep
M3,M3R3-006,Brake caliper,Clamp pads on rotor,use_base,Caliper piston sticks in partially applied position,"Brake drag, overheating, and inconsistent deceleration",6,"Contamination, corrosion, or seal swelling",4,Functional spin test,7,168,Improve caliper sealing and add drag torque check,Designer,engineering_inference:S03,not_applicable,keep
M3,M3R3-007,Brake caliper,Apply symmetric clamping force,use_base,Caliper alignment shifts relative to rotor,Uneven pad wear and reduced braking consistency,7,"Loose mount, tolerance stack-up, or impact deformation",5,Visual alignment and torque check,7,245,Add locating feature and assembly alignment gauge,Manufacturer,engineering_inference:S02,not_applicable,keep
M3,M3R3-008,Brake pads,Generate stable friction,use_base,Pad wear below service limit,Longer stopping distance and reduced braking margin,9,"Normal wear, abrasive contamination, or neglected maintenance",5,Visual pad wear inspection,5,225,"Add wear indicator, minimum thickness mark, and maintenance interval",Service technician,engineering_inference:S02;S03,not_applicable,keep
M3,M3R3-009,Brake pads,Maintain friction under repeated braking,use_base,Pad fade during repeated braking,Braking force decreases during repeated stops or slope descent,7,Thermal overload or low-temperature-rated compound,5,Material specification review,8,280,Define thermal fade test and higher-temperature pad compound,Designer,engineering_inference:S02,not_applicable,keep
M3,M3R3-010,Disc rotor,Provide stable friction surface,use_base,Rotor warps or develops excessive runout,"Vibration, pulsing, and reduced braking consistency",6,"Heat cycling, impact, or insufficient rotor thickness",3,Runout inspection and rotor thickness check,7,126,"Specify rotor thickness, heat tolerance, and runout limit",Designer,engineering_inference:S02,not_applicable,keep
M3,M3R3-011,Disc rotor,Provide clean pad contact,use_base,Rotor contamination reduces friction,Reduced braking force and longer stopping distance,8,"Oil, water, cleaning residue, or road contamination",5,Visual inspection and functional brake check,6,240,Add contamination warning and cleaning guidance,Service technician,engineering_inference:S03,not_applicable,keep
M3,M3R3-012,Mounting hardware,Hold brake components in position,use_base,Caliper bolt loosens or retaining fastener backs out,"Caliper shift, misalignment, or severe braking loss",8,"Vibration, missing thread locking, or incorrect torque",3,Torque audit and witness mark,8,192,"Use locking fastener, torque stripe, and assembly verification",Manufacturer,S01; engineering_inference:S02,not_applicable,keep
M3,M3R3-013,Mounting hardware,Maintain bracket stiffness,use_base,Brake bracket cracks near mounting hole,Loss of caliper position and degraded braking,9,"Fatigue, stress concentration, or impact",3,Visual inspection and design review,9,243,"Add fillet radius, fatigue review, and proof-load inspection",Designer,engineering_inference:S02,not_applicable,keep
M3,M3R3-014,Wheel-level braking response,Decelerate wheel predictably,use_base,Brake does not engage when commanded,Excessive stopping distance and collision risk,10,"Disconnected force path, severe pad wear, or caliper malfunction",2,Pre-ride brake check,9,180,Add pre-ride check procedure and fail-safe design review,Rider,S01; engineering_inference:S02,not_applicable,keep
M3,M3R3-015,Wheel-level braking response,Modulate deceleration,use_base,Brake engages too aggressively or unexpectedly,"Wheel lock, skid, and rider fall",7,"Excessive leverage, poor modulation, or contaminated friction pair",4,Functional braking response check,9,252,Define modulation acceptance criteria and adjust leverage/friction pairing,Designer,S01; engineering_inference:S02,not_applicable,keep
M3,M3R3-016,Wheel-level braking response,Maintain consistent braking response,use_base,Front and rear brake balance is poorly matched,Rider instability during braking,7,Component mismatch or uneven adjustment,4,Final assembly brake response check,7,196,Add balance check and adjustment procedure,Manufacturer,engineering_inference:S02;S03,not_applicable,keep
