method_id,item_id,subsystem,function,requirement_or_evidence_anchor,potential_failure_mode,potential_effect,severity_s,potential_cause,occurrence_o,current_control,detection_d,rpn,recommended_action,responsible_role,evidence_trace,critic_notes,status
M4,M4-001,Brake lever,Convert rider input into braking command,engineering_inference:S02;S03,Lever pivot binds and prevents smooth actuation,Delayed braking command or delayed release,6,Dirt ingress corrosion poor pivot tolerance,4,Assembly inspection and service check,6,144,Use sealed bushing corrosion-resistant pivot and lever return test,Designer,engineering_inference:S02;S03,Specific and plausible,keep
M4,M4-002,Brake lever,Maintain structural integrity under rider input,engineering_inference:S02,Lever blade cracks near pivot,Sudden loss or reduction of rider brake input,9,Stress concentration low material strength impact damage,2,Static load test and visual inspection,7,126,Add fatigue assessment radius improvement and material specification,Designer,engineering_inference:S02,High severity but occurrence low; keep with S explanation,keep
M4,M4-003,Brake lever,Provide controllable modulation,engineering_inference:S02,Lever ratio produces excessive mechanical advantage,Over-aggressive braking and wheel lock tendency,8,Poor leverage design inadequate modulation evaluation,3,Functional brake feel test,7,168,Tune lever ratio and validate modulation with defined load cases,Designer,engineering_inference:S02,Distinct from wheel-level lock because cause is lever design,keep
M4,M4-004,Cable or hydraulic path,Transmit lever force to caliper,S01;engineering_inference:S02,Cable anchor slips or detaches,Sudden severe loss of braking force,9,Insufficient clamp torque missing retainer poor assembly,3,Torque check and functional brake test,8,216,Add positive retention feature torque marking and assembly poka-yoke,Manufacturer,S01;engineering_inference:S02,CPSC cable attachment anchor supports inclusion,keep
M4,M4-005,Cable or hydraulic path,Transmit force consistently,S01;engineering_inference:S02,Cable frays or stretches at routing bend,Progressive reduction in braking force,7,Sharp bend fatigue abrasive housing poor routing,5,Visual cable inspection and adjustment check,5,175,Increase bend radius add liner and define replacement interval,Service technician,S01;engineering_inference:S02,Keep; not duplicate of detachment because progression differs,keep
M4,M4-006,Cable or hydraulic path,Maintain continuous force path,S01;engineering_inference:S03,Intermittent cable or linkage movement,Sporadic brake engagement and unpredictable deceleration,8,Kinked cable sticking linkage housing contamination,3,Functional brake check,8,192,Add smooth-routing requirement and full-stroke return test,Manufacturer,S01;engineering_inference:S03,Directly aligned with sporadic engagement evidence,keep
M4,M4-007,Cable or hydraulic path,Maintain hydraulic pressure if hydraulic brake is used,engineering_inference:S02,Hydraulic leak or air ingress reduces pressure,Reduced braking force and increased stopping distance,8,Seal degradation loose fitting poor bleeding,3,Leak inspection and bleed procedure,7,168,Specify pressure-rated fittings and production leak test,Manufacturer,engineering_inference:S02,Conditional on hydraulic variant; mark as applicable when hydraulic,keep
M4,M4-008,Brake caliper,Convert input into pad clamping force,engineering_inference:S02;S03,Caliper piston or slide sticks,Brake drag or delayed clamping response,7,Corrosion debris seal swelling poor lubrication,4,Maintenance inspection,6,168,Improve dust sealing specify compatible lubricant and cleaning guidance,Designer,engineering_inference:S02;S03,Specific mechanical mechanism,keep
M4,M4-009,Brake caliper,Maintain pad-rotor alignment,engineering_inference:S02,Caliper misalignment relative to rotor,Uneven pad wear noise and reduced braking consistency,6,Poor bracket tolerance loose mounting bent support,4,Alignment check,5,120,Add alignment fixture torque sequence and service tolerance,Manufacturer,engineering_inference:S02,Lower severity justified; not primary loss of braking,keep
M4,M4-010,Brake pads,Generate friction against rotor,engineering_inference:S02;S03,Pad wear below service limit,Longer stopping distance and reduced braking margin,8,Normal wear abrasive debris delayed replacement,5,Visual pad thickness inspection,4,160,Add wear indicator minimum thickness marking and maintenance interval,Service technician,engineering_inference:S02;S03,Important high-severity wear path,keep
M4,M4-011,Brake pads,Maintain stable friction coefficient,engineering_inference:S02,Pad contamination by oil water or debris,Reduced friction and inconsistent braking,7,Environmental exposure cleaning residue road debris,4,Visual inspection,6,168,Add contamination warning shielding and replacement instruction,Service technician,engineering_inference:S02,Evidence indirect but engineering plausible,keep
M4,M4-012,Brake pads,Maintain braking under thermal load,engineering_inference:S02,Pad fade during repeated braking,Braking force decreases during repeated stops or slope descent,8,Inadequate compound heat buildup insufficient rotor heat capacity,4,Material qualification,7,224,Define thermal fade test and use higher-temperature pad compound,Designer,engineering_inference:S02,High-risk item; keep,keep
M4,M4-013,Disc rotor,Provide stable friction surface,engineering_inference:S02;S03,Rotor warps or has excessive runout,Pulsation vibration and uneven braking,6,Heat distortion impact insufficient stiffness,4,Runout inspection,6,144,Specify runout limit rotor material and heat treatment control,Designer,engineering_inference:S02;S03,Specific and measurable,keep
M4,M4-014,Disc rotor,Maintain thickness and heat capacity,engineering_inference:S02;S03,Rotor wears below minimum thickness,Reduced heat capacity and degraded braking performance,7,Abrasive debris low hardness delayed replacement,3,Thickness measurement,5,105,Mark minimum thickness and include service gauge instruction,Service technician,engineering_inference:S02;S03,Keep; different from warpage,keep
M4,M4-015,Mounting hardware,Retain caliper and brake components,S01;engineering_inference:S02,Caliper bolt loosens or retaining fastener backs out,Caliper shift misalignment or severe braking loss,9,Vibration insufficient torque no locking feature,3,Torque audit,7,189,Use locking fastener torque stripe and assembly verification,Manufacturer,S01;engineering_inference:S02,High-risk due to retention loss,keep
M4,M4-016,Mounting hardware,Preserve structural support under braking load,engineering_inference:S02,Caliper bracket cracks under fatigue,Caliper displacement and reduced braking control,9,Fatigue overload casting defect sharp corner,2,Visual inspection,8,144,Increase fillet radius safety factor and fatigue analysis,Designer,engineering_inference:S02,High D because hidden crack may progress,keep
M4,M4-017,Wheel-level braking response,Produce predictable deceleration,S01;engineering_inference:S02,Brake does not engage when commanded,Excessive stopping distance and collision risk,10,Cable detachment hydraulic leak seized linkage or severe pad failure,2,Functional brake test,8,160,Add pre-ride check procedure and design-level fail-safe review,Designer,S01;engineering_inference:S02,General effect row kept as system-level hazard aggregator,keep
M4,M4-018,Wheel-level braking response,Produce controllable deceleration,S01;engineering_inference:S02,Brake engages too aggressively or unexpectedly,Wheel lock skid and rider fall,8,Poor modulation sticking mechanism excessive leverage,3,Functional brake response test,8,192,Define modulation acceptance criteria and adjust leverage/friction pairing,Designer,S01;engineering_inference:S02,Directly tied to excessive engagement scenario,keep
