method_id,item_id,subsystem,function,requirement_or_evidence_anchor,potential_failure_mode,potential_effect,severity_s,potential_cause,occurrence_o,current_control,detection_d,rpn,recommended_action,responsible_role,evidence_trace,critic_notes,status
M1,M1-001,Brake lever,Transfer rider hand input,none,Lever does not return smoothly,Reduced rider control and delayed brake release,5,Wear or contamination at pivot,4,Visual inspection,5,100,Specify corrosion-resistant pivot and routine lubrication,Designer,none,not_applicable,keep
M1,M1-002,Cable or hydraulic path,Transmit force to caliper,none,Cable stretches or hydraulic pressure drops,Reduced braking force,7,Wear leakage or poor adjustment,5,Maintenance inspection,6,210,Add adjustment check and service interval,Service technician,none,not_applicable,keep
M1,M1-003,Brake caliper,Clamp pads on rotor,none,Caliper sticks,Brake drag or uneven braking,6,Dirt corrosion or misalignment,4,Periodic inspection,6,144,Improve sealing and alignment procedure,Designer,none,not_applicable,keep
M1,M1-004,Brake pads,Generate friction,none,Pads wear below service limit,Longer stopping distance,8,Normal wear or poor material,5,Visual pad wear check,4,160,Add wear indicator and replacement guidance,Service technician,none,not_applicable,keep
M1,M1-005,Disc rotor,Provide friction surface,none,Rotor warps,Vibration and reduced braking consistency,6,Heat or impact,3,Visual runout inspection,6,108,Specify rotor thickness and heat tolerance,Designer,none,not_applicable,keep
M1,M1-006,Mounting hardware,Hold brake parts in position,none,Bolts loosen,Caliper misalignment or loss of braking,8,Vibration or insufficient torque,3,Torque check,5,120,Define torque specification and locking feature,Manufacturer,none,not_applicable,keep
M1,M1-007,Wheel-level braking response,Decelerate wheel predictably,none,Braking response is inconsistent,Rider instability and increased crash risk,8,Mixed component wear or poor adjustment,4,Test ride inspection,7,224,Add final assembly braking response check,Manufacturer,none,not_applicable,keep
M2,M2-001,Brake lever,Convert hand force to brake input,none,Lever pivot binds,Delayed brake actuation or release,6,Corrosion dirt ingress or poor bearing tolerance,4,Assembly inspection,6,144,Add sealed pivot bushing and corrosion-resistant material,Designer,none,not_applicable,keep
M2,M2-002,Brake lever,Provide ergonomic control,none,Lever cracks under repeated load,Sudden loss of rider input,8,Low material strength or stress concentration,3,Static load test,7,168,Increase section thickness and validate fatigue strength,Designer,none,not_applicable,keep
M2,M2-003,Cable or hydraulic path,Transmit input force,none,Cable frays near anchor,Gradual loss of braking force,7,Sharp bend poor routing or fatigue,5,Visual cable inspection,5,175,Improve cable routing and add fray inspection interval,Service technician,none,not_applicable,keep
M2,M2-004,Cable or hydraulic path,Transmit input force,none,Cable detaches from lever or caliper,Sudden loss of braking,9,Incorrect clamp torque or missing retainer,3,Assembly torque check,8,216,Add positive retention feature and poka-yoke assembly,Manufacturer,none,not_applicable,keep
M2,M2-005,Cable or hydraulic path,Maintain hydraulic pressure,none,Fluid leaks from hose or fitting,Reduced braking force and longer stopping distance,8,Seal degradation or loose fitting,3,Leak inspection,7,168,Specify pressure-rated fittings and leak test,Manufacturer,none,not_applicable,keep
M2,M2-006,Brake caliper,Convert force to pad clamping,none,Caliper piston sticks,Uneven braking or brake drag,7,Dirt corrosion or seal swelling,4,Maintenance inspection,6,168,Improve dust sealing and define cleaning procedure,Designer,none,not_applicable,keep
M2,M2-007,Brake caliper,Align pads with rotor,none,Caliper is misaligned,Uneven pad wear and reduced braking,6,Poor assembly tolerance or bent bracket,5,Visual alignment check,5,150,Add alignment fixture and service check,Manufacturer,none,not_applicable,keep
M2,M2-008,Brake pads,Provide friction,none,Pad material overheats and fades,Braking force drops during repeated braking,8,Inadequate pad compound or high heat,4,Material qualification,7,224,Use higher temperature pad material and thermal test,Designer,none,not_applicable,keep
M2,M2-009,Brake pads,Provide friction,none,Pad contamination,Reduced friction and longer stopping distance,7,Oil water or debris exposure,4,Visual inspection,6,168,Add contamination guidance and shielding,Service technician,none,not_applicable,keep
M2,M2-010,Disc rotor,Provide friction surface,none,Rotor excessive wear,Reduced pad contact and braking performance,7,Abrasive debris or low hardness,4,Thickness inspection,5,140,Define minimum thickness and material hardness,Designer,none,not_applicable,keep
M2,M2-011,Disc rotor,Maintain flat running surface,none,Rotor warpage,Pulsing vibration and inconsistent braking,6,Heat distortion or impact,4,Runout check,6,144,Improve rotor material and heat management,Designer,none,not_applicable,keep
M2,M2-012,Mounting hardware,Retain caliper and rotor position,none,Caliper bolt loosens,Caliper shift or loss of braking alignment,9,Vibration insufficient torque or no threadlock,3,Torque audit,6,162,Use locking fastener and torque marking,Manufacturer,none,not_applicable,keep
