case_id,case_description,source_csv,method_id,item_id,subsystem,function,failure_mode,effect,cause,current_control,recommended_action,responsible_role,s,o,d,rpn,rpn_arithmetic_ok,evidence_trace,direct_source_ids,engineering_inference_source_ids,evidence_support_class,source_basis_summary,requirement_or_evidence_anchor,critic_notes,status,generation_route,field_provenance_summary,supports_claims,does_not_support_claims,recommended_reader_check
primary_e_scooter_mechanical_braking,electric-scooter / micromobility mechanical braking system,experiment_extension/data/runs/M4_full_run01.csv,M4,M4-001,Brake lever,Convert rider input into braking command,Lever pivot binds and prevents smooth actuation,Delayed braking command or delayed release,Dirt ingress corrosion poor pivot tolerance,Assembly inspection and service check,Use sealed bushing corrosion-resistant pivot and lever return test,Designer,6,4,6,144,True,engineering_inference:S02;S03,S03,S02,mixed direct-source and engineering-inference support,S02: UK Department for Transport e-scooter construction standards report | S03: EN 17128:2020 terminology preview,engineering_inference:S02;S03,Specific and plausible,keep,original_AEI_run via mixed_original_workflow; date=2026-05-22; settings temperature/top_p/seed=not_available/not_available/original_session,DFMEA text fields are LLM-generated/author-normalized candidate artifact fields; S/O/D are LLM-estimated early ratings; RPN is script-checkable arithmetic; evidence_trace records source/inference boundary.,row-level traceability and structural auditability only,"technical correctness, frequency, completeness, S/O/D validity, mitigation effectiveness, safety certification",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
primary_e_scooter_mechanical_braking,electric-scooter / micromobility mechanical braking system,experiment_extension/data/runs/M4_full_run01.csv,M4,M4-002,Brake lever,Maintain structural integrity under rider input,Lever blade cracks near pivot,Sudden loss or reduction of rider brake input,Stress concentration low material strength impact damage,Static load test and visual inspection,Add fatigue assessment radius improvement and material specification,Designer,9,2,7,126,True,engineering_inference:S02,,S02,engineering-inference support only,S02: UK Department for Transport e-scooter construction standards report,engineering_inference:S02,High severity but occurrence low; keep with S explanation,keep,original_AEI_run via mixed_original_workflow; date=2026-05-22; settings temperature/top_p/seed=not_available/not_available/original_session,DFMEA text fields are LLM-generated/author-normalized candidate artifact fields; S/O/D are LLM-estimated early ratings; RPN is script-checkable arithmetic; evidence_trace records source/inference boundary.,row-level traceability and structural auditability only,"technical correctness, frequency, completeness, S/O/D validity, mitigation effectiveness, safety certification",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
primary_e_scooter_mechanical_braking,electric-scooter / micromobility mechanical braking system,experiment_extension/data/runs/M4_full_run01.csv,M4,M4-003,Brake lever,Provide controllable modulation,Lever ratio produces excessive mechanical advantage,Over-aggressive braking and wheel lock tendency,Poor leverage design inadequate modulation evaluation,Functional brake feel test,Tune lever ratio and validate modulation with defined load cases,Designer,8,3,7,168,True,engineering_inference:S02,,S02,engineering-inference support only,S02: UK Department for Transport e-scooter construction standards report,engineering_inference:S02,Distinct from wheel-level lock because cause is lever design,keep,original_AEI_run via mixed_original_workflow; date=2026-05-22; settings temperature/top_p/seed=not_available/not_available/original_session,DFMEA text fields are LLM-generated/author-normalized candidate artifact fields; S/O/D are LLM-estimated early ratings; RPN is script-checkable arithmetic; evidence_trace records source/inference boundary.,row-level traceability and structural auditability only,"technical correctness, frequency, completeness, S/O/D validity, mitigation effectiveness, safety certification",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
primary_e_scooter_mechanical_braking,electric-scooter / micromobility mechanical braking system,experiment_extension/data/runs/M4_full_run01.csv,M4,M4-004,Cable or hydraulic path,Transmit lever force to caliper,Cable anchor slips or detaches,Sudden severe loss of braking force,Insufficient clamp torque missing retainer poor assembly,Torque check and functional brake test,Add positive retention feature torque marking and assembly poka-yoke,Manufacturer,9,3,8,216,True,S01;engineering_inference:S02,S01,S02,mixed direct-source and engineering-inference support,S01: CPSC micromobility safety report | S02: UK Department for Transport e-scooter construction standards report,S01;engineering_inference:S02,CPSC cable attachment anchor supports inclusion,keep,original_AEI_run via mixed_original_workflow; date=2026-05-22; settings temperature/top_p/seed=not_available/not_available/original_session,DFMEA text fields are LLM-generated/author-normalized candidate artifact fields; S/O/D are LLM-estimated early ratings; RPN is script-checkable arithmetic; evidence_trace records source/inference boundary.,row-level traceability and structural auditability only,"technical correctness, frequency, completeness, S/O/D validity, mitigation effectiveness, safety certification",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
primary_e_scooter_mechanical_braking,electric-scooter / micromobility mechanical braking system,experiment_extension/data/runs/M4_full_run01.csv,M4,M4-005,Cable or hydraulic path,Transmit force consistently,Cable frays or stretches at routing bend,Progressive reduction in braking force,Sharp bend fatigue abrasive housing poor routing,Visual cable inspection and adjustment check,Increase bend radius add liner and define replacement interval,Service technician,7,5,5,175,True,S01;engineering_inference:S02,S01,S02,mixed direct-source and engineering-inference support,S01: CPSC micromobility safety report | S02: UK Department for Transport e-scooter construction standards report,S01;engineering_inference:S02,Keep; not duplicate of detachment because progression differs,keep,original_AEI_run via mixed_original_workflow; date=2026-05-22; settings temperature/top_p/seed=not_available/not_available/original_session,DFMEA text fields are LLM-generated/author-normalized candidate artifact fields; S/O/D are LLM-estimated early ratings; RPN is script-checkable arithmetic; evidence_trace records source/inference boundary.,row-level traceability and structural auditability only,"technical correctness, frequency, completeness, S/O/D validity, mitigation effectiveness, safety certification",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
primary_e_scooter_mechanical_braking,electric-scooter / micromobility mechanical braking system,experiment_extension/data/runs/M4_full_run01.csv,M4,M4-006,Cable or hydraulic path,Maintain continuous force path,Intermittent cable or linkage movement,Sporadic brake engagement and unpredictable deceleration,Kinked cable sticking linkage housing contamination,Functional brake check,Add smooth-routing requirement and full-stroke return test,Manufacturer,8,3,8,192,True,S01;engineering_inference:S03,S01,S03,mixed direct-source and engineering-inference support,S01: CPSC micromobility safety report | S03: EN 17128:2020 terminology preview,S01;engineering_inference:S03,Directly aligned with sporadic engagement evidence,keep,original_AEI_run via mixed_original_workflow; date=2026-05-22; settings temperature/top_p/seed=not_available/not_available/original_session,DFMEA text fields are LLM-generated/author-normalized candidate artifact fields; S/O/D are LLM-estimated early ratings; RPN is script-checkable arithmetic; evidence_trace records source/inference boundary.,row-level traceability and structural auditability only,"technical correctness, frequency, completeness, S/O/D validity, mitigation effectiveness, safety certification",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
primary_e_scooter_mechanical_braking,electric-scooter / micromobility mechanical braking system,experiment_extension/data/runs/M4_full_run01.csv,M4,M4-007,Cable or hydraulic path,Maintain hydraulic pressure if hydraulic brake is used,Hydraulic leak or air ingress reduces pressure,Reduced braking force and increased stopping distance,Seal degradation loose fitting poor bleeding,Leak inspection and bleed procedure,Specify pressure-rated fittings and production leak test,Manufacturer,8,3,7,168,True,engineering_inference:S02,,S02,engineering-inference support only,S02: UK Department for Transport e-scooter construction standards report,engineering_inference:S02,Conditional on hydraulic variant; mark as applicable when hydraulic,keep,original_AEI_run via mixed_original_workflow; date=2026-05-22; settings temperature/top_p/seed=not_available/not_available/original_session,DFMEA text fields are LLM-generated/author-normalized candidate artifact fields; S/O/D are LLM-estimated early ratings; RPN is script-checkable arithmetic; evidence_trace records source/inference boundary.,row-level traceability and structural auditability only,"technical correctness, frequency, completeness, S/O/D validity, mitigation effectiveness, safety certification",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
primary_e_scooter_mechanical_braking,electric-scooter / micromobility mechanical braking system,experiment_extension/data/runs/M4_full_run01.csv,M4,M4-008,Brake caliper,Convert input into pad clamping force,Caliper piston or slide sticks,Brake drag or delayed clamping response,Corrosion debris seal swelling poor lubrication,Maintenance inspection,Improve dust sealing specify compatible lubricant and cleaning guidance,Designer,7,4,6,168,True,engineering_inference:S02;S03,S03,S02,mixed direct-source and engineering-inference support,S02: UK Department for Transport e-scooter construction standards report | S03: EN 17128:2020 terminology preview,engineering_inference:S02;S03,Specific mechanical mechanism,keep,original_AEI_run via mixed_original_workflow; date=2026-05-22; settings temperature/top_p/seed=not_available/not_available/original_session,DFMEA text fields are LLM-generated/author-normalized candidate artifact fields; S/O/D are LLM-estimated early ratings; RPN is script-checkable arithmetic; evidence_trace records source/inference boundary.,row-level traceability and structural auditability only,"technical correctness, frequency, completeness, S/O/D validity, mitigation effectiveness, safety certification",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
primary_e_scooter_mechanical_braking,electric-scooter / micromobility mechanical braking system,experiment_extension/data/runs/M4_full_run01.csv,M4,M4-009,Brake caliper,Maintain pad-rotor alignment,Caliper misalignment relative to rotor,Uneven pad wear noise and reduced braking consistency,Poor bracket tolerance loose mounting bent support,Alignment check,Add alignment fixture torque sequence and service tolerance,Manufacturer,6,4,5,120,True,engineering_inference:S02,,S02,engineering-inference support only,S02: UK Department for Transport e-scooter construction standards report,engineering_inference:S02,Lower severity justified; not primary loss of braking,keep,original_AEI_run via mixed_original_workflow; date=2026-05-22; settings temperature/top_p/seed=not_available/not_available/original_session,DFMEA text fields are LLM-generated/author-normalized candidate artifact fields; S/O/D are LLM-estimated early ratings; RPN is script-checkable arithmetic; evidence_trace records source/inference boundary.,row-level traceability and structural auditability only,"technical correctness, frequency, completeness, S/O/D validity, mitigation effectiveness, safety certification",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
primary_e_scooter_mechanical_braking,electric-scooter / micromobility mechanical braking system,experiment_extension/data/runs/M4_full_run01.csv,M4,M4-010,Brake pads,Generate friction against rotor,Pad wear below service limit,Longer stopping distance and reduced braking margin,Normal wear abrasive debris delayed replacement,Visual pad thickness inspection,Add wear indicator minimum thickness marking and maintenance interval,Service technician,8,5,4,160,True,engineering_inference:S02;S03,S03,S02,mixed direct-source and engineering-inference support,S02: UK Department for Transport e-scooter construction standards report | S03: EN 17128:2020 terminology preview,engineering_inference:S02;S03,Important high-severity wear path,keep,original_AEI_run via mixed_original_workflow; date=2026-05-22; settings temperature/top_p/seed=not_available/not_available/original_session,DFMEA text fields are LLM-generated/author-normalized candidate artifact fields; S/O/D are LLM-estimated early ratings; RPN is script-checkable arithmetic; evidence_trace records source/inference boundary.,row-level traceability and structural auditability only,"technical correctness, frequency, completeness, S/O/D validity, mitigation effectiveness, safety certification",inspect source/inference boundary and decide whether the row needs expert or physical validation before engineering use
